,geoid_long,stab,state,tract,block_group,labor_force,unemployed,unemployment_rate,county,geoid
1,15000US110010001011,DC,11,000101,1,787,18,2.29,001,110010001011
2,15000US110010001021,DC,11,000102,1,1099,0,0.0,001,110010001021
3,15000US110010001022,DC,11,000102,2,590,47,7.97,001,110010001022
4,15000US110010001023,DC,11,000102,3,575,13,2.26,001,110010001023
5,15000US110010002011,DC,11,000201,1,0,0,,001,110010002011
6,15000US110010002012,DC,11,000201,2,1481,135,9.12,001,110010002012
7,15000US110010002021,DC,11,000202,1,758,40,5.28,001,110010002021
8,15000US110010002022,DC,11,000202,2,385,0,0.0,001,110010002022
9,15000US110010002023,DC,11,000202,3,806,23,2.85,001,110010002023
10,15000US110010002024,DC,11,000202,4,1050,48,4.57,001,110010002024
11,15000US110010003001,DC,11,000300,1,674,22,3.26,001,110010003001
12,15000US110010003002,DC,11,000300,2,1060,0,0.0,001,110010003002
13,15000US110010003003,DC,11,000300,3,1121,26,2.32,001,110010003003
14,15000US110010003004,DC,11,000300,4,1168,13,1.11,001,110010003004
15,15000US110010004001,DC,11,000400,1,252,0,0.0,001,110010004001
16,15000US110010004002,DC,11,000400,2,403,3,0.74,001,110010004002
17,15000US110010005011,DC,11,000501,1,820,24,2.93,001,110010005011
18,15000US110010005012,DC,11,000501,2,811,12,1.48,001,110010005012
19,15000US110010005013,DC,11,000501,3,934,33,3.53,001,110010005013
20,15000US110010005021,DC,11,000502,1,1136,85,7.48,001,110010005021
21,15000US110010005022,DC,11,000502,2,1322,22,1.66,001,110010005022
22,15000US110010006001,DC,11,000600,1,739,0,0.0,001,110010006001
23,15000US110010006002,DC,11,000600,2,687,11,1.6,001,110010006002
24,15000US110010006003,DC,11,000600,3,442,24,5.43,001,110010006003
25,15000US110010006004,DC,11,000600,4,1031,16,1.55,001,110010006004
26,15000US110010007021,DC,11,000702,1,959,70,7.3,001,110010007021
27,15000US110010007022,DC,11,000702,2,770,0,0.0,001,110010007022
28,15000US110010007023,DC,11,000702,3,580,24,4.14,001,110010007023
29,15000US110010007031,DC,11,000703,1,1234,0,0.0,001,110010007031
30,15000US110010007032,DC,11,000703,2,694,76,10.95,001,110010007032
31,15000US110010007041,DC,11,000704,1,885,0,0.0,001,110010007041
32,15000US110010007042,DC,11,000704,2,887,33,3.72,001,110010007042
33,15000US110010008021,DC,11,000802,1,1322,24,1.82,001,110010008021
34,15000US110010008022,DC,11,000802,2,810,0,0.0,001,110010008022
35,15000US110010008031,DC,11,000803,1,496,0,0.0,001,110010008031
36,15000US110010008032,DC,11,000803,2,381,65,17.06,001,110010008032
37,15000US110010008033,DC,11,000803,3,501,54,10.78,001,110010008033
38,15000US110010008041,DC,11,000804,1,531,45,8.47,001,110010008041
39,15000US110010008042,DC,11,000804,2,536,73,13.62,001,110010008042
40,15000US110010008043,DC,11,000804,3,728,57,7.83,001,110010008043
41,15000US110010009021,DC,11,000902,1,357,17,4.76,001,110010009021
42,15000US110010009022,DC,11,000902,2,768,18,2.34,001,110010009022
43,15000US110010009031,DC,11,000903,1,1303,175,13.43,001,110010009031
44,15000US110010009032,DC,11,000903,2,568,26,4.58,001,110010009032
45,15000US110010009041,DC,11,000904,1,922,40,4.34,001,110010009041
46,15000US110010009042,DC,11,000904,2,593,8,1.35,001,110010009042
47,15000US110010010021,DC,11,001002,1,379,13,3.43,001,110010010021
48,15000US110010010022,DC,11,001002,2,690,15,2.17,001,110010010022
49,15000US110010010023,DC,11,001002,3,470,101,21.49,001,110010010023
50,15000US110010010024,DC,11,001002,4,718,12,1.67,001,110010010024
51,15000US110010010031,DC,11,001003,1,479,0,0.0,001,110010010031
52,15000US110010010032,DC,11,001003,2,666,14,2.1,001,110010010032
53,15000US110010010033,DC,11,001003,3,499,22,4.41,001,110010010033
54,15000US110010010041,DC,11,001004,1,632,17,2.69,001,110010010041
55,15000US110010010042,DC,11,001004,2,848,22,2.59,001,110010010042
