sumlev,geoid,areaname,stab,state,county,tract,BG,CBSA,metdiv,logrecno,B23025i1,B23025i2,B23025i3,B23025i4,B23025i5,B23025i6,B23025i7
Geographic summary level ,  ,  ,State abbreviation ,State code ,County code ,Tract code ,Block group code ,CBSA code ,Metro division of MSA ,  ,Total: ,In labor force: ,Civilian labor force: ,Employed ,Unemployed ,Armed Forces ,Not in labor force
150,15000US110010001011,"Block Group 1, Census Tract 1.01, District of Columbia, District of Columbia",DC,11,District of Columbia DC,101,1,.,,215,1134,787,787,769,18,0,347
150,15000US110010001021,"Block Group 1, Census Tract 1.02, District of Columbia, District of Columbia",DC,11,District of Columbia DC,102,1,.,,216,1251,1099,1099,1099,0,0,152
150,15000US110010001022,"Block Group 2, Census Tract 1.02, District of Columbia, District of Columbia",DC,11,District of Columbia DC,102,2,.,,217,969,590,590,543,47,0,379
150,15000US110010001023,"Block Group 3, Census Tract 1.02, District of Columbia, District of Columbia",DC,11,District of Columbia DC,102,3,.,,218,769,575,575,562,13,0,194
150,15000US110010002011,"Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia",DC,11,District of Columbia DC,201,1,.,,219,0,0,0,0,0,0,0
150,15000US110010002012,"Block Group 2, Census Tract 2.01, District of Columbia, District of Columbia",DC,11,District of Columbia DC,201,2,.,,220,3972,1481,1481,1346,135,0,2491
150,15000US110010002021,"Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia",DC,11,District of Columbia DC,202,1,.,,221,1057,758,758,718,40,0,299
150,15000US110010002022,"Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia",DC,11,District of Columbia DC,202,2,.,,222,621,385,385,385,0,0,236
150,15000US110010002023,"Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia",DC,11,District of Columbia DC,202,3,.,,223,998,806,806,783,23,0,192
150,15000US110010002024,"Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia",DC,11,District of Columbia DC,202,4,.,,224,1802,1050,1050,1002,48,0,752
150,15000US110010003001,"Block Group 1, Census Tract 3, District of Columbia, District of Columbia",DC,11,District of Columbia DC,300,1,.,,225,1115,674,674,652,22,0,441
150,15000US110010003002,"Block Group 2, Census Tract 3, District of Columbia, District of Columbia",DC,11,District of Columbia DC,300,2,.,,226,1294,1060,1060,1060,0,0,234
150,15000US110010003003,"Block Group 3, Census Tract 3, District of Columbia, District of Columbia",DC,11,District of Columbia DC,300,3,.,,227,1567,1121,1121,1095,26,0,446
150,15000US110010003004,"Block Group 4, Census Tract 3, District of Columbia, District of Columbia",DC,11,District of Columbia DC,300,4,.,,228,1469,1168,1168,1155,13,0,301
150,15000US110010004001,"Block Group 1, Census Tract 4, District of Columbia, District of Columbia",DC,11,District of Columbia DC,400,1,.,,229,435,252,252,252,0,0,183
150,15000US110010004002,"Block Group 2, Census Tract 4, District of Columbia, District of Columbia",DC,11,District of Columbia DC,400,2,.,,230,802,403,403,400,3,0,399
150,15000US110010005011,"Block Group 1, Census Tract 5.01, District of Columbia, District of Columbia",DC,11,District of Columbia DC,501,1,.,,231,970,845,820,796,24,25,125
150,15000US110010005012,"Block Group 2, Census Tract 5.01, District of Columbia, District of Columbia",DC,11,District of Columbia DC,501,2,.,,232,947,811,811,799,12,0,136
150,15000US110010005013,"Block Group 3, Census Tract 5.01, District of Columbia, District of Columbia",DC,11,District of Columbia DC,501,3,.,,233,1190,934,934,901,33,0,256
150,15000US110010005021,"Block Group 1, Census Tract 5.02, District of Columbia, District of Columbia",DC,11,District of Columbia DC,502,1,.,,234,1382,1136,1136,1051,85,0,246
150,15000US110010005022,"Block Group 2, Census Tract 5.02, District of Columbia, District of Columbia",DC,11,District of Columbia DC,502,2,.,,235,1566,1322,1322,1300,22,0,244
150,15000US110010006001,"Block Group 1, Census Tract 6, District of Columbia, District of Columbia",DC,11,District of Columbia DC,600,1,.,,236,1047,739,739,739,0,0,308
150,15000US110010006002,"Block Group 2, Census Tract 6, District of Columbia, District of Columbia",DC,11,District of Columbia DC,600,2,.,,237,805,687,687,676,11,0,118
150,15000US110010006003,"Block Group 3, Census Tract 6, District of Columbia, District of Columbia",DC,11,District of Columbia DC,600,3,.,,238,647,442,442,418,24,0,205
150,15000US110010006004,"Block Group 4, Census Tract 6, District of Columbia, District of Columbia",DC,11,District of Columbia DC,600,4,.,,239,1595,1031,1031,1015,16,0,564
150,15000US110010007021,"Block Group 1, Census Tract 7.02, District of Columbia, District of Columbia",DC,11,District of Columbia DC,702,1,.,,240,1126,959,959,889,70,0,167
150,15000US110010007022,"Block Group 2, Census Tract 7.02, District of Columbia, District of Columbia",DC,11,District of Columbia DC,702,2,.,,241,914,770,770,770,0,0,144
150,15000US110010007023,"Block Group 3, Census Tract 7.02, District of Columbia, District of Columbia",DC,11,District of Columbia DC,702,3,.,,242,813,580,580,556,24,0,233
150,15000US110010007031,"Block Group 1, Census Tract 7.03, District of Columbia, District of Columbia",DC,11,District of Columbia DC,703,1,.,,243,1463,1234,1234,1234,0,0,229
150,15000US110010007032,"Block Group 2, Census Tract 7.03, District of Columbia, District of Columbia",DC,11,District of Columbia DC,703,2,.,,244,1699,694,694,618,76,0,1005
150,15000US110010007041,"Block Group 1, Census Tract 7.04, District of Columbia, District of Columbia",DC,11,District of Columbia DC,704,1,.,,245,1222,885,885,885,0,0,337
150,15000US110010007042,"Block Group 2, Census Tract 7.04, District of Columbia, District of Columbia",DC,11,District of Columbia DC,704,2,.,,246,1377,887,887,854,33,0,490
150,15000US110010008021,"Block Group 1, Census Tract 8.02, District of Columbia, District of Columbia",DC,11,District of Columbia DC,802,1,.,,247,1735,1322,1322,1298,24,0,413
150,15000US110010008022,"Block Group 2, Census Tract 8.02, District of Columbia, District of Columbia",DC,11,District of Columbia DC,802,2,.,,248,1166,810,810,810,0,0,356
150,15000US110010008031,"Block Group 1, Census Tract 8.03, District of Columbia, District of Columbia",DC,11,District of Columbia DC,803,1,.,,249,722,496,496,496,0,0,226
150,15000US110010008032,"Block Group 2, Census Tract 8.03, District of Columbia, District of Columbia",DC,11,District of Columbia DC,803,2,.,,250,535,381,381,316,65,0,154
150,15000US110010008033,"Block Group 3, Census Tract 8.03, District of Columbia, District of Columbia",DC,11,District of Columbia DC,803,3,.,,251,901,501,501,447,54,0,400
150,15000US110010008041,"Block Group 1, Census Tract 8.04, District of Columbia, District of Columbia",DC,11,District of Columbia DC,804,1,.,,252,856,531,531,486,45,0,325
